# ----------------------------------------
# Confira a visão geral de engajamento e retenção de usuários
# Conta: Verônica Grijó
# Propriedade: veronicagrijo.psc.br
# ----------------------------------------
#  
# Data de início: 20260521
# Data de término: 20260818
Nª semana,Usuários ativos
0000,4
0001,10
0002,6
0003,6
0004,5
0005,7
0006,4
0007,2
0008,4
0009,8
0010,2
0011,10
0012,2
0013,4

# Data de início: 20260521
# Data de término: 20260818
Nª semana,Novos usuários
0000,4
0001,9
0002,7
0003,6
0004,4
0005,7
0006,4
0007,2
0008,5
0009,6
0010,3
0011,9
0012,2
0013,5

# Qual é a origem dos novos usuários?
# Data de início: 20260521
# Data de término: 20260818
Grupo principal de canais do primeiro usuário (Agrupamento de canais padrão),Novos usuários
Direct,46
Organic Social,16
Organic Search,8
AI Assistant,2
Unassigned,1

#  
# Data de início: 20260521
# Data de término: 20260818
Título da página e classe da tela,Visualizações
Psicóloga em Macaé | Terapia para Ansiedade e Maternidade | Verônica Grijó,124
Psicóloga Online para Mulheres | Verônica Grijó,95
"Blog da Psicóloga em Macaé | Ansiedade, Maternidade e Saúde Mental",43
Psicóloga Online Especializada em Ansiedade | Verônica Grijó,10
Política de Privacidade | Verônica Grijó — Psicóloga,6
5 sinais de que você precisa de terapia agora | Blog | Verônica Grijó,4
Ansiedade na Maternidade: Você Não Precisa Dar Conta de Tudo | Blog | Verônica Grijó,4
EDITAR_TITULO_DO_POST | Blog | Verônica Grijó,4
"Culpa materna: o que é, por que acontece e como lidar",2
Ansiedade por antecipação: por que tentar controlar tudo só aumenta a ansiedade,1

#  
# Data de início: 20260521
# Data de término: 20260818
Plataforma,Usuários ativos
"[""Web""]",71

#  
# Data de início: 20260521
# Data de término: 20260818
Coorte,Dia 1,Dia 7,Dia 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0

#  
# Data de início: 20260521
# Data de término: 20260818
Coorte,Dia 1,Dia 7,Dia 30
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0

#  
# Data de início: 20260708
# Data de término: 20260818
Coorte,Tempo médio de engajamento por usuário ativo
0000,3.1825396825396823
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
