Date,Not indexed,Indexed,Impressions
2026-05-20,,,4
2026-05-21,7,12,4
2026-05-22,7,12,0
2026-05-23,7,12,4
2026-05-24,7,12,14
2026-05-25,7,12,18
2026-05-26,7,12,11
2026-05-27,7,12,16
2026-05-28,7,12,14
2026-05-29,7,12,3
2026-05-30,7,12,4
2026-05-31,7,12,10
2026-06-01,7,12,8
2026-06-02,7,12,5
2026-06-03,7,12,6
2026-06-04,7,12,6
2026-06-05,7,12,4
2026-06-06,7,12,2
2026-06-07,7,12,15
2026-06-08,8,12,11
2026-06-09,8,12,4
2026-06-10,8,12,9
2026-06-11,8,12,6
2026-06-12,13,9,0
2026-06-13,13,9,0
2026-06-14,13,9,10
2026-06-15,13,9,5
2026-06-16,13,9,16
2026-06-17,13,9,16
2026-06-18,13,9,8
2026-06-19,13,9,4
2026-06-20,13,9,3
2026-06-21,13,9,15
2026-06-22,13,9,11
2026-06-23,13,9,8
2026-06-24,13,9,16
2026-06-25,13,9,6
2026-06-26,13,9,4
2026-06-27,13,9,2
2026-06-28,13,9,13
2026-06-29,13,9,10
2026-06-30,13,9,17
2026-07-01,13,9,14
2026-07-02,13,9,6
2026-07-03,13,9,1
2026-07-04,13,9,4
2026-07-05,13,9,14
2026-07-06,13,9,12
2026-07-07,13,9,5
2026-07-08,13,9,13
2026-07-09,13,9,6
2026-07-10,15,20,1
2026-07-11,15,20,6
2026-07-12,15,20,39
2026-07-13,15,20,9
2026-07-14,15,20,14
2026-07-15,15,20,9
2026-07-16,15,20,6
2026-07-17,15,20,2
2026-07-18,15,20,9
2026-07-19,15,20,10
2026-07-20,15,20,11
2026-07-21,15,20,16
2026-07-22,15,20,14
2026-07-23,15,20,6
2026-07-24,15,20,5
2026-07-25,15,20,3
2026-07-26,15,20,11
2026-07-27,15,20,18
2026-07-28,15,20,1
2026-07-29,15,20,9
2026-07-30,15,20,7
2026-07-31,15,20,1
2026-08-01,15,20,5
2026-08-02,15,20,8
2026-08-03,15,20,6
2026-08-04,15,20,4
2026-08-05,17,19,11
2026-08-06,17,19,6
2026-08-07,18,18,1
2026-08-08,18,18,1
2026-08-09,18,18,22
2026-08-10,18,18,6
2026-08-11,18,18,7
2026-08-12,18,18,9
2026-08-13,18,18,8
