Date,Clicks,Impressions,CTR,Position
2026-05-17,0,4,0%,1
2026-05-18,0,39,0%,2.2
2026-05-19,1,24,4.17%,2.8
2026-05-20,1,13,7.69%,7.4
2026-05-21,0,4,0%,9
2026-05-22,0,4,0%,4
2026-05-23,0,0,,
2026-05-24,0,4,0%,9.2
2026-05-25,0,14,0%,3.1
2026-05-26,0,18,0%,4.3
2026-05-27,1,11,9.09%,6.3
2026-05-28,0,16,0%,6
2026-05-29,0,14,0%,8.1
2026-05-30,0,3,0%,20.3
2026-05-31,0,4,0%,9.5
2026-06-01,0,10,0%,4
2026-06-02,0,8,0%,2.9
2026-06-03,0,5,0%,5.6
2026-06-04,0,6,0%,3.3
2026-06-05,0,6,0%,4.7
2026-06-06,0,4,0%,7.5
2026-06-07,0,2,0%,1.5
2026-06-08,1,15,6.67%,7.4
2026-06-09,0,11,0%,7.9
2026-06-10,0,4,0%,21.5
2026-06-11,0,9,0%,10.1
2026-06-12,0,6,0%,1.8
2026-06-13,0,0,,
2026-06-14,0,0,,
2026-06-15,0,10,0%,3.2
2026-06-16,0,5,0%,9
2026-06-17,0,16,0%,28.1
2026-06-18,0,16,0%,11.3
2026-06-19,0,8,0%,14.9
2026-06-20,0,4,0%,73.2
2026-06-21,0,3,0%,19.7
2026-06-22,0,15,0%,20.7
2026-06-23,1,11,9.09%,19
2026-06-24,0,8,0%,18.1
2026-06-25,0,16,0%,10.6
2026-06-26,0,6,0%,10.3
2026-06-27,0,4,0%,39
2026-06-28,0,2,0%,33
2026-06-29,0,13,0%,20.2
2026-06-30,0,10,0%,25.8
2026-07-01,0,17,0%,10.6
2026-07-02,0,14,0%,16.6
2026-07-03,0,6,0%,17
2026-07-04,0,1,0%,57
2026-07-05,0,4,0%,55.5
2026-07-06,0,14,0%,26
2026-07-07,0,12,0%,17.3
2026-07-08,0,5,0%,22.4
2026-07-09,0,13,0%,12.6
2026-07-10,0,6,0%,17.3
2026-07-11,0,1,0%,23
2026-07-12,0,6,0%,30.3
2026-07-13,0,39,0%,7.7
2026-07-14,0,9,0%,19
2026-07-15,0,14,0%,10.8
2026-07-16,0,9,0%,10.3
2026-07-17,0,6,0%,13
2026-07-18,0,2,0%,70.5
2026-07-19,0,9,0%,44.9
2026-07-20,0,10,0%,25.3
2026-07-21,0,11,0%,14.5
2026-07-22,0,16,0%,11.2
2026-07-23,0,14,0%,11.1
2026-07-24,0,6,0%,15.3
2026-07-25,0,5,0%,72.8
2026-07-26,0,3,0%,41
2026-07-27,0,11,0%,16.4
2026-07-28,0,18,0%,17.4
2026-07-29,0,1,0%,9
2026-07-30,0,9,0%,25.7
2026-07-31,0,7,0%,19
2026-08-01,0,1,0%,6
2026-08-02,0,5,0%,7.8
2026-08-03,0,8,0%,7.5
2026-08-04,0,6,0%,2.5
2026-08-05,1,4,25%,6.2
2026-08-06,0,11,0%,9.4
2026-08-07,1,6,16.67%,14.7
2026-08-08,0,1,0%,1
2026-08-09,0,1,0%,47
2026-08-10,1,22,4.55%,7.5
2026-08-11,0,6,0%,10.3
2026-08-12,0,7,0%,8
2026-08-13,0,9,0%,7.7
2026-08-14,0,8,0%,13.6
2026-08-15,0,5,0%,35.8
2026-08-16,1,6,16.67%,27.7
